# Omega_m sigma_8 chi2 weight
4.318356563692487549e-01 7.574913813482073710e-01 5.285017483811083494e+00 2.000000000000000000e+00
4.389845018099997609e-01 7.450583410059435918e-01 5.770702081993550614e+00 1.000000000000000000e+00
4.388673302585029967e-01 7.446325680187998453e-01 6.331908233603225078e+00 1.000000000000000000e+00
4.439236232204851196e-01 7.417167813436669199e-01 4.915309004194300613e+00 2.000000000000000000e+00
4.529680303108845063e-01 7.334665383332638067e-01 4.878203128584474690e+00 1.000000000000000000e+00
4.471990701283985459e-01 7.415707727838697361e-01 4.829180593148868716e+00 1.000000000000000000e+00
4.350328411156191843e-01 7.524433891448220058e-01 4.457638063361383018e+00 2.000000000000000000e+00
4.311865729329293351e-01 7.568099061528678062e-01 4.356377248258120893e+00 2.000000000000000000e+00
4.196545936258347376e-01 7.656049561590432262e-01 4.669452803726725776e+00 1.000000000000000000e+00
4.208012308984559469e-01 7.674143931168360133e-01 4.072780387027433946e+00 2.000000000000000000e+00
4.217396272834350590e-01 7.648180923759666516e-01 4.051832021121635208e+00 2.000000000000000000e+00
4.189624112100349129e-01 7.705758695740991815e-01 4.640369323548235059e+00 2.000000000000000000e+00
4.102620877567206836e-01 7.789347008929489169e-01 3.863414342665345558e+00 5.000000000000000000e+00
4.072888819567520025e-01 7.770156088108313153e-01 6.227585276607541687e+00 2.000000000000000000e+00
4.077111509381189380e-01 7.800023675121346978e-01 3.635019067005189175e+00 8.000000000000000000e+00
4.180015044758363940e-01 7.719284797560685973e-01 4.869805453605599688e+00 1.000000000000000000e+00
4.021035817009203095e-01 7.878738541268319739e-01 3.565899054136358881e+00 1.000000000000000000e+00
3.914187781022917534e-01 7.989469843665146787e-01 3.135702459150410348e+00 8.000000000000000000e+00
3.932429884762300709e-01 7.969134923574877627e-01 3.150006761178242964e+00 1.000000000000000000e+00
3.850381867301690408e-01 8.062333144798353723e-01 2.930005923417447367e+00 1.000000000000000000e+00
3.821624870023127563e-01 8.115614754153970267e-01 3.326314995561864052e+00 3.000000000000000000e+00
3.739204748417737090e-01 8.199937226041108529e-01 2.641836398215135606e+00 1.000000000000000000e+00
