# Omega_m sigma_8 chi2 weight
2.083512999391530784e-01 8.609935953935701214e-01 2.176984011287425691e+00 2.000000000000000000e+00
2.225037079787964278e-01 8.691122702293455626e-01 2.278181184475122301e+00 1.000000000000000000e+00
2.279765704569602369e-01 8.715311639515299635e-01 2.701575791088388190e+00 1.000000000000000000e+00
2.258673396305047876e-01 8.772491991019566449e-01 3.262122380383406739e+00 1.000000000000000000e+00
2.304901820707507820e-01 8.799098299489958031e-01 3.737967806999619391e+00 1.000000000000000000e+00
2.345923124939090221e-01 8.768052748685543074e-01 3.699088996209723312e+00 2.000000000000000000e+00
2.413640352810984269e-01 8.573446625594460802e-01 4.248053651956434251e+00 1.000000000000000000e+00
2.457166193721534442e-01 8.633595483670434279e-01 5.079476451168900120e+00 1.000000000000000000e+00
2.388816567453192208e-01 8.562587098911280670e-01 3.753862127268885907e+00 2.000000000000000000e+00
2.417876239848456010e-01 8.706292418088983354e-01 4.346421030812288144e+00 2.000000000000000000e+00
2.376735443274480830e-01 8.774553332304918518e-01 4.101602456396495455e+00 1.000000000000000000e+00
2.420674931160763377e-01 8.696482703823111837e-01 4.366783213294580968e+00 1.000000000000000000e+00
2.490063079712828142e-01 8.644273646226150465e-01 5.833082903662830887e+00 1.000000000000000000e+00
2.451630265756055971e-01 8.675812848618893458e-01 4.943513674470554342e+00 1.000000000000000000e+00
2.302064017234159155e-01 8.839976948428868164e-01 4.286211922184176792e+00 3.000000000000000000e+00
2.330436974947906748e-01 8.788739926405931824e-01 3.767144290441389209e+00 1.000000000000000000e+00
2.297171297616539820e-01 8.832265117955969691e-01 4.159830794735875692e+00 1.000000000000000000e+00
2.311103136446732986e-01 8.781040518868584721e-01 3.547812957697524805e+00 1.000000000000000000e+00
2.469248404345832371e-01 8.679634115916456949e-01 5.326546727240221379e+00 1.000000000000000000e+00
2.551394355102366007e-01 8.690139285410657388e-01 7.304212681203800628e+00 1.000000000000000000e+00
2.309472807399821082e-01 8.807847425665442653e-01 3.870274683247242997e+00 2.000000000000000000e+00
2.371914691715413526e-01 8.664978940852130496e-01 3.431589379491770231e+00 1.000000000000000000e+00
2.346716052960917120e-01 8.695162229165277479e-01 3.187399071413612006e+00 3.000000000000000000e+00
2.336478491149460990e-01 8.631686222264864927e-01 2.806713802686242154e+00 1.000000000000000000e+00
2.280359414070260160e-01 8.709957867207057669e-01 2.657654746414096714e+00 2.000000000000000000e+00
2.365646938234780283e-01 8.690120267872687432e-01 3.424116906516919467e+00 3.000000000000000000e+00
2.327948894611604203e-01 8.858670456213320055e-01 4.643500070742294206e+00 2.000000000000000000e+00
2.428930301812292358e-01 8.761475533446057007e-01 4.789869831512882037e+00 1.000000000000000000e+00
2.343013817733257953e-01 8.783855127911982530e-01 3.822284657128076635e+00 1.000000000000000000e+00
2.316241742274417204e-01 8.820791470016250413e-01 4.060264968762086646e+00 3.000000000000000000e+00
2.303419033592037368e-01 8.803840681373769073e-01 3.780604909646076983e+00 2.000000000000000000e+00
2.294543003581887841e-01 8.866839424932071445e-01 4.697371721688051949e+00 1.000000000000000000e+00
2.194359018423835683e-01 8.945194199189669959e-01 7.141238365642125885e+00 3.000000000000000000e+00
2.174412986734199360e-01 8.873285875622659580e-01 5.683377956023996092e+00 1.000000000000000000e+00
2.221763083774793146e-01 8.871522406735260491e-01 5.057128112157779576e+00 5.000000000000000000e+00
2.314398560565265051e-01 8.784641417390492979e-01 3.618982091471348639e+00 2.000000000000000000e+00
2.363304960184293979e-01 8.598644794470453601e-01 3.209197859355819027e+00 2.000000000000000000e+00
2.370792328666587456e-01 8.586476994176542865e-01 3.347554123928880188e+00 1.000000000000000000e+00
2.254081566469467446e-01 8.643408458555325025e-01 1.991378265145107074e+00 1.000000000000000000e+00
2.309131083220852254e-01 8.532640236705364423e-01 2.358740664787551733e+00 1.000000000000000000e+00
2.286573703528763379e-01 8.531343800098898367e-01 2.020687015715712409e+00 2.000000000000000000e+00
2.212784083355160691e-01 8.509321938787547390e-01 1.184817020000316301e+00 1.000000000000000000e+00
2.127460276305088160e-01 8.549903313494146007e-01 1.156683973369048157e+00 2.000000000000000000e+00
2.230296923072938309e-01 8.490311679340282192e-01 1.345336442794599963e+00 2.000000000000000000e+00
2.085290342643509875e-01 8.612621813305852969e-01 2.185004654428740256e+00 1.000000000000000000e+00
2.087921183585494389e-01 8.611958256275702439e-01 2.143970675191485764e+00 1.000000000000000000e+00
2.111592100723232723e-01 8.648750472589326055e-01 2.350610172063325454e+00 1.000000000000000000e+00
